Complaint_ID,Complaint_Text,Predicted_Sentiment,Transformer_Sentiment,Transformer_Confidence,Predicted_Emotion,Emotion_Intensity
BANK_101674,,Neutral,Positive,0.7481,Neutral,Neutral
BANK_1878541,"On XXXX XXXX, 2016, on Saturday at XXXX, I talked to a Charles Schwab customer service representative. I called to see why my check card could not be activated by phone. After answering all the identity questions from this representative ( address, social security number, and finally drivers license number ) she looked into my accounts. What had happened was that a card from an old account that I closed had been sent and this is why I could not activate it. After my question was answered, this rep proceeded to ask me if I was employed, what colleges I have attended, and what jobs I had worked at. Then she asked if I were going on vacation! I actually thought she was going to ask me what my net worth was! She then proceeded to insult me and say 'I do n't know why you are activating a check card with only this amount of money in your account '. My friend dealt with either this same woman or one like her 2 years ago. He contacted Charles Schwab with a question concerning his account. She asked him why he was withdrawing money from his account and THEN asked him what he was doing with it!! And 2 years ago, after the way he was treated, I decided NOT to use Schwab as my primary bank and closed ALL my accounts except for XXXX checking and brokerage account. Today XXXX/XXXX/2016 I closed the last remaining accounts. 
I complained to Charles Schwab customer service by their online email. I received a response that basically stated that someone would call me. On XXXX/XXXX/2016 a male, who did not give his name, called me and claimed he had listen to the tape concerning the incident in question and said this was further verification for my identity, which is a lie. HE DID NOT LISTEN TO THE TAPE because he would have known that my identity had been verified and the female rep immediately pulled up my account information. This guy was raising his voice at me and justifying what this female customer service representative was asking. I had to yell at him to be quiet because I could not get a word in edge-wise and finally hung up on him and he was still with a raised voice yapping away. My identity was already verified and she was just being nosy. Charles Schwab never knew where I worked or what colleges I attended so this information was not used to verify anything. A nosy customer service representative could easily be tempted to commit fraud or theft with account holders. They are deceptively obtaining information, data mining, in the guise of the verification of identity. 
",Positive,Negative,0.9993,Fear,Positive
BANK_1619723,"I have been using rush card for almost 5 years happily until XXXX XXXX. At that time a software glitch became a nightmare. On a trip to XXXX XXXX for a work conference I was embarrassed when my card declined a transaction that I should have been able to afford easily, from there I suffered the continued embarrassment of having to rely on my co workers to finance my expenses including a ride home to the air port. Till this date I still do not have access to my funds. I have been reduced to borrowing money from friends and family to pay for basic expenses. Numerous calls and emails to this organization have gone unanswered. It is as if my money has disappeared. It is XXXX XXXX and I still can not acces my funds. 
",Neutral,Negative,0.9997,Neutral,Neutral
BANK_1743314,,Neutral,Positive,0.7481,Neutral,Neutral
BANK_251934,,Neutral,Positive,0.7481,Neutral,Neutral
BANK_473144,,Neutral,Positive,0.7481,Neutral,Neutral
BANK_2178313,,Neutral,Positive,0.7481,Neutral,Neutral
BANK_2375168,,Neutral,Positive,0.7481,Neutral,Neutral
BANK_424847,,Neutral,Positive,0.7481,Neutral,Neutral
BANK_1403454,,Neutral,Positive,0.7481,Neutral,Neutral
BANK_821107,,Neutral,Positive,0.7481,Neutral,Neutral
CS_6265,"I'm having an issue with the {product_purchased}. Please assist. I'm sorry if there is a problem.

(1528) A/B Testing Service

<d=b>(3) (1) Product I've already contacted customer support multiple times, but the issue remains unresolved.",Negative,Negative,0.9987,Frustration,Negative
BANK_2169175,,Neutral,Positive,0.7481,Neutral,Neutral
BANK_1257247,,Neutral,Positive,0.7481,Neutral,Neutral
BANK_1166710,,Neutral,Positive,0.7481,Neutral,Neutral
BANK_2191984,wells fargo bank allowed directv to go into my account which was not authorized to take {$560.00} out of my account which they did not have this account number to. the bank can not tell me how they got this account information to take the money out. when they had permission it was stop in XX/XX/2016 they took this money in XX/XX/2016 without my permission if the bank let anyone go into your account without having your information something is wrong with the system.,Negative,Negative,0.999,Neutral,Negative
BANK_1600909,,Neutral,Positive,0.7481,Neutral,Neutral
BANK_855392,,Neutral,Positive,0.7481,Neutral,Neutral
BANK_1841743,,Neutral,Positive,0.7481,Neutral,Neutral
BANK_1036901,,Neutral,Positive,0.7481,Neutral,Neutral
BANK_1097677,,Neutral,Positive,0.7481,Neutral,Neutral
BANK_491843,,Neutral,Positive,0.7481,Neutral,Neutral
BANK_2355007,,Neutral,Positive,0.7481,Neutral,Neutral
BANK_2328960,,Neutral,Positive,0.7481,Neutral,Neutral
BANK_1685264,,Neutral,Positive,0.7481,Neutral,Neutral
BANK_1368290,,Neutral,Positive,0.7481,Neutral,Neutral
BANK_31685,,Neutral,Positive,0.7481,Neutral,Neutral
BANK_469095,,Neutral,Positive,0.7481,Neutral,Neutral
BANK_2309538,,Neutral,Positive,0.7481,Neutral,Neutral
